NAMESPACE                                          NAME                                                     READY   STATUS             RESTARTS   AGE     IP               NODE           NOMINATED NODE   READINESS GATES
openshift-image-registry                           cluster-image-registry-operator-547bd97747-qr9ct         1/1     Running            1          3d      172.30.184.149   10.242.64.4    <none>           <none>
openshift-image-registry                           image-pruner-1629244800-j7jt9                            0/1     Error              0          2d17h   172.30.63.151    10.242.0.5     <none>           <none>
openshift-image-registry                           image-pruner-1629331200-mcnr2                            0/1     Error              0          41h     172.30.63.152    10.242.0.5     <none>           <none>
openshift-image-registry                           image-pruner-1629417600-tjz7r                            0/1     Error              0          17h     172.30.63.153    10.242.0.5     <none>           <none>
openshift-image-registry                           image-registry-54b6484ddd-nkfq6                          1/1     Running            8          2d20h   172.30.151.68    10.242.128.7   <none>           <none>
openshift-image-registry                           node-ca-4fhx8                                            1/1     Running            0          2d20h   10.242.128.6     10.242.128.6   <none>           <none>
openshift-image-registry                           node-ca-g5jjf                                            1/1     Running            0          2d20h   10.242.64.5      10.242.64.5    <none>           <none>
openshift-image-registry                           node-ca-nfv2w                                            1/1     Running            0          2d20h   10.242.0.5       10.242.0.5     <none>           <none>
openshift-image-registry                           node-ca-nxwbx                                            1/1     Running            0          2d20h   10.242.64.4      10.242.64.4    <none>           <none>
openshift-image-registry                           node-ca-rnwrq                                            1/1     Running            0          2d20h   10.242.128.7     10.242.128.7   <none>           <none>
openshift-image-registry                           node-ca-x6q5m                                            1/1     Running            0          2d20h   10.242.0.4       10.242.0.4     <none>           <none>
openshift-ingress-operator                         ingress-operator-56bdd8446-l794m                         2/2     Running            0          3d      172.30.184.151   10.242.64.4    <none>           <none>
openshift-ingress                                  router-default-54b684c78-2z4p5                           0/1     Running            781        2d20h   172.30.63.132    10.242.0.5     <none>           <none>
openshift-ingress                                  router-default-54b684c78-hb5fm                           1/1     Running            460        2d20h   172.30.42.206    10.242.128.6   <none>           <none>
openshift-kube-proxy                               openshift-kube-proxy-h7lvs                               0/1     CrashLoopBackOff   657        2d22h   10.242.64.4      10.242.64.4    <none>           <none>
openshift-kube-proxy                               openshift-kube-proxy-kkhlx                               0/1     Running            788        2d22h   10.242.0.4       10.242.0.4     <none>           <none>
openshift-kube-proxy                               openshift-kube-proxy-m92tq                               1/1     Running            0          2d22h   10.242.128.7     10.242.128.7   <none>           <none>
openshift-kube-proxy                               openshift-kube-proxy-nk2th                               1/1     Running            9          2d22h   10.242.64.5      10.242.64.5    <none>           <none>
openshift-kube-proxy                               openshift-kube-proxy-rjbnf                               0/1     Running            436        2d22h   10.242.128.6     10.242.128.6   <none>           <none>
openshift-kube-proxy                               openshift-kube-proxy-rx95h                               0/1     Running            757        2d22h   10.242.0.5       10.242.0.5     <none>           <none>
openshift-kube-storage-version-migrator-operator   kube-storage-version-migrator-operator-bb977cccc-kpb7g   1/1     Running            3          3d      172.30.184.139   10.242.64.4    <none>           <none>
openshift-kube-storage-version-migrator            migrator-6fcfdfb5df-dgxhj                                1/1     Running            0          2d21h   172.30.42.196    10.242.128.6   <none>           <none>
openshift-marketplace                              certified-operators-9x5j7                                0/1     Running            314        2d18h   172.30.42.252    10.242.128.6   <none>           <none>
openshift-marketplace                              certified-operators-hjvgh                                0/1     Running            319        2d20h   172.30.42.202    10.242.128.6   <none>           <none>
openshift-marketplace                              community-operators-4fttb                                0/1     Running            676        2d17h   172.30.63.150    10.242.0.5     <none>           <none>
openshift-marketplace                              community-operators-r6mqf                                0/1     Running            678        2d20h   172.30.63.137    10.242.0.5     <none>           <none>
openshift-marketplace                              marketplace-operator-5bdf85b8b5-p8p96                    1/1     Running            0          3d      172.30.184.144   10.242.64.4    <none>           <none>
openshift-marketplace                              redhat-marketplace-fp5sm                                 0/1     Running            302        2d18h   172.30.42.251    10.242.128.6   <none>           <none>
openshift-marketplace                              redhat-marketplace-z8h58                                 0/1     Running            733        2d20h   172.30.126.6     10.242.0.4     <none>           <none>
openshift-marketplace                              redhat-operators-7k6zs                                   0/1     Running            325        2d20h   172.30.42.201    10.242.128.6   <none>           <none>
